HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.404466 1.000323 0.001524 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.405003 1.000966 0.001515 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.405562 1.004367 0.001532 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.406128 0.999310 0.001523 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.406675 0.996534 0.001537 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.407233 0.999519 0.001532 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.407790 0.999496 0.001534 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.408337 1.001175 0.001534 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.408907 0.999493 0.001519 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.409453 1.002224 0.001541 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.410035 1.000526 0.001520 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.410621 0.998990 0.001539 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.411217 0.997123 0.001538 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.411766 0.998657 0.001547 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.412482 0.999213 0.001540 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.413033 1.001792 0.001530 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.413642 1.003432 0.001545 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.414244 0.997997 0.001535 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.414833 1.000391 0.001532 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.415409 1.001399 0.001529 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.416170 0.998270 0.001523 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.416623 0.999970 0.001534 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.417090 0.999325 0.001543 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.417553 1.002073 0.001538 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.418019 1.001221 0.001529 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.418484 0.999993 0.001539 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.418951 1.000755 0.001545 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.419430 0.999588 0.001542 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.419896 0.997519 0.001510 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.420364 0.999280 0.001518 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.420831 1.000089 0.001512 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.421303 0.998052 0.001529 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.421772 1.000369 0.001533 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.422243 1.000184 0.001523 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.422716 0.998788 0.001532 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.423190 0.997375 0.001503 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.423664 1.000627 0.001538 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.424138 0.999144 0.001521 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.424614 0.999479 0.001531 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.425096 1.001145 0.001547 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.425573 0.999107 0.001530 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.426052 1.003633 0.001529 
